Checkpoint;Opponent;Game Moves;Winner
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 G7 I10 K10 H5 F6 G4 E5 F3 D4 E2 J3 J2 C3 D2 A2 C2 B3 B10 D9 C11 E10 B2 B1 A3 A1 I2 H2 H3 G3 F4 E4 E3 D3 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 G7 H5 F6 F10 E10 G4 E5 F3 D4 E2 J3 J2 C3 D2 A2 C2 B3 B2 B1 A3 A1 I2 H2 H3 G3 F4 E4 E3 D3 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 G7 F10 H9 H5 F6 G4 E5 F3 D4 E2 J3 J2 C3 D2 A2 H3 C2 D1 B2 G11 I10 H8 F9 G9 E10 B1 A1 F5 E6 F4 E4 D3 C4 E8 B9 E11 D11 F7 G6 G8 F8;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 G7 G9 F9 H5 F6 G4 E5 F3 D4 E2 J3 J2 C3 D2 A2 C2 B3 B2 B1 A3 A1 I2 H2 H3 G3 F4 E4 E3 D3 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 G7 H4 I4 J2 I3 I2 H3 H2 F3 G1 E2 G3 F4 E6 B7 G4 F5 G6 E7 F6 D6 D7 B8 C9 A10 A11 B10 E5 D5 B9 A9 E4 D4 B11 C10 C11 D10 D11 E10 E11 G10 F10 G9 F9 G8 E8 D8 F7 F8 E9 D9 H5 I5 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 J9 J11 K11 F6 D7 C10 B10 E5 D5 D6 B7 C7 H5 I2 J2 G7 I6 J3 I3 H8 J7 J8 I8 I9 H9 G11 H10 I4 H4 I5 H6 I7 J6 H11 F10 G10 G9 J1 K1 F11 E11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 J9 I5 G5 G6 E7 D10 F5 H2 C10 D8 E8 D9 F9 E11 G10 I2 J2 E4 I3 H4 G4 H3 F3 G1 E2 F4 G3 F6 E6 E9 F8 F1 E1 F2 E3 E10 F10 G11 F11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 J9 J6 H6 H7 G7 F9 G8 I4 G5 G4 H4 I2 H3 H2 J2 I3 K3 J5 G3 G2 F2 F3 E3 E4 C5 D4 C4 D6 C7 C6 A7 B7 A8 B6 A6 B5 A5 B10 B8 B4 A4 B3 A2 A3 C2 I5 B2 D5 D3 K4;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 J9 I8 G7 F10 E9 D11 C10 H4 I4 J2 I3 I2 H3 H2 G2 G3 F3 F4 E4 E5 C6 D5 C5 D7 C8 C7 A8 B8 A9 B7 A7 B6 A6 B9 A10 B5 A5 B4 A4 B3 B2 A3 C2 D6 D2 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 J9 J7 G7 F10 H8 H5 F6 G4 E5 F3 D4 E2 J3 I5 K4 J2 C3 D2 A2 C2 B3 B10 D9 C11 E10 B2 B1 A3 A1 H3 F4 G3 E4 E3 D3 K2 I3 I2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 B3 D2 G7 F10 H9 H5 F6 G4 E5 F3 D4 E2 A2 J2 C3 G11 I10 H8 F9 G9 E10 B2 C2 D1 B1 A3 A1 I2 E4 H2 D3 E3 C4 K2 J3 G2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 B3 I10 K10 F6 D7 C10 B10 E5 D5 D6 B7 C7 H5 I2 J2 G7 I6 H8 J7 J3 I3 I9 K8 K9 A9 C6 B6 B5 C5 E4 D3 D4 C4 B8 A8 B9 A10 E1 F2 B11 A11 D2 E2 G1 F1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 B3 G7 J9 E8 B9 B10 I6 H8 J7 J8 I8 H5 I4 I5 K4 J5 K5 J4 K3 J1 K1 K2 J3 J2 H3 H2 I2 I1 G3 G2 F3 F2 E3 E2 D3 D2 A2 C3 B4 C4 B5 A7 C5 D4 D5 E4 E5 F4 F5 G4 G5 H4 G6 H6 F7 F8 D8 D9 C9 C10 A10 A11;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 B3 B4 G7 F10 H5 I2 J2 I4 H4 I3 G3 H1 F2 E10 H9 G11 I10 G8 I7 H7 I6 J8 I9 I8 H8 K3 G6 G1 F1 G2 F3 H6 I5 H3 G4 H11 I11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 B3 E9 J9 G8 B10 C8 A9 B7 D9 E7 E8 F7 I7 H6 I5 I6 K5 J6 K6 J5 K4 J2 J4 J7 K7 H3 G4 H4 G5 H5 I4 I3 K2 K1 D6 G6 D8 D7 C7 B8 A7 A8;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 F4 G7 J9 E8 I6 C9 H8 H5 J4 I3 K2 K1 J2 G11 J1 I11 K10 J8 H9 I9 F10 J3 K3 H10 G10 H7 I7 H6 I5 F11 E11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 F4 I10 K10 E6 G5 F7 H6 G8 H8 H7 J6 I6 J5 I7 J7 I8 J8 I9 K9 K3 I5 G1 J9 I4 H5 H3 G3 H2 E2 E3 F2 G4 F5 F3 G2 J11 K11 E1 F1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 F4 F8 J9 E6 B7 B10 D9 C11 E10 G5 J4 C8 A9 J3 H4 H5 I4 I6 K5 J7 D7 D8 E7 E8 F7 H7 A10 A11 G7 G8 I7 J6 C9 B9 K7 K6;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 F4 E6 G5 F7 H6 G8 H8 H7 J6 I6 J5 I7 J7 J8 I8 G11 I9 K3 I4 I3 J3 J2 G4 G1 H3 I1 H1 H2 G2 I10 F10 G9 G10 J4 I5 G3 F3 H10 H9 F11 E11 G6 H5;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 F4 F6 D7 C10 B10 E5 D5 D6 B7 C7 H5 I2 J2 G7 H7 H6 J5 I5 K3 I6 J6 J7 I7 G8 H9 H8 I8 J4 K4 J3 K2 G11 F10 J1 K1 H10 G10 F11 E11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 H6 I10 K10 I4 G5 G4 H4 I2 H3 H2 J2 I3 K3 J5 G2 G3 E5 F3 D4 E2 C3 D2 A2 C2 B3 B2 B1 A3 I5 J4 H5 E3 D3 K5;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 H6 G8 F8 I3 G4 G3 H3 E10 F9 I1 H2 F10 D9 C11 B10 F6 H5 G7 H7 H8 J7 I9 K8 I7 J6 J10 D7 E5 D5 D6 B7 C6 B6 A9 C7 D8 C8 C5 B5 E6 C4 D2 D3 E2 E3 F2 F3 H1 I2 J1 J2 G2 B3 K1 C3 A2 B2 B1 A1 C2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 A3 H6 G9 I8 I4 G5 G4 H4 I2 H3 H2 J2 I3 K3 J5 G2 G3 E5 F3 D4 E2 C3 D2 A2 C2 B3 B2 B1 A3 I5 J4 H5 E3 D3 K5;Test Model
