Checkpoint;Wins;Losses;AlwaysFirst;ErrorTokens
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-510640_ft_gen_2_r;245;380;395;703
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-765960_fr_gen_1_r;219;406;247;1478
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-765960_ft_gen_3_r;270;355;410;573
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-765960_ft_r_gen_4;286;339;439;593
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-765960_ft_r_gen_5;275;350;433;537
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-523640_ft_gen_1_b;178;447;183;1731
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-523640_ft_gen_2_b;241;384;324;791
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-589095_ft_gen_3_b;237;388;322;869
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-785460_ft_b_gen_4;250;375;316;786
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-785460_ft_b_gen_5;246;379;294;996
